"Capwaktu","Usia","KategoriKunjungan","JenisWisata","NamaWisata","Budget","AkomodasiPenginapan","Transportasi","TingkatKepuasanPengunjung","DeskripsiSingkatPengalaman"
"2022/11/14 1:28:32 PM GMT+7","Remaja","Komunitas","Wisata Alam","18. Aek Sijorni Tapanuli Selatan","Low","Villa","Bus","Memuaskan","Lokasi yang menyejukan, fasilitas yang ada juga memadai"
"2022/11/14 2:44:27 PM GMT+7","Dewasa","Komunitas","Wisata Alam","22. Pemandian Bah Damanik","Low","Tidak Menginap","Motor","Sangat baik","Perjalanan menuju wisata sangat jauh dan jalan yg kurang bagus menuju lokasi wisata"
"2022/11/14 2:46:35 PM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","High","Hotel","Mobil","Sangat baik","pengalaman yang baik, daerah danau toba yang Saya kunjungi tidak buruk"
"2022/11/14 2:59:57 PM GMT+7","Dewasa","Tunggal","Wisata Alam","1. Air Terjun Ponot Kisaran","High","Hotel","Mobil","Sangat baik","Menarik sekali"
"2022/11/14 3:25:06 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Villa","Mobil","Sangat baik","Keindahan wisatanta gacukup hanya dinikmati sekali dan banyak tempat penginapan yang tersedia"
"2022/11/14 3:31:17 PM GMT+7","Dewasa","Keluarga","Wisata Alam","16. Pusuk Buhit Samosir","Medium","Tenda","Mobil","Memuaskan","Pusuk Buhit mempunyai keindahan alam yang masih alami, hanya saja memiliki akses jalan yang sangat terjal. Untuk sampai ke titik akhir Pusuk Buhit kita harus melanjutkan perjalanan dengan berjalan kaki. Jalur pendakian memang lah buruk, namun semuanya itu akan terbayarkan dengan pemandangan yang sangat indah di Pusuk Buhit :) "
"2022/11/14 4:04:37 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Medium","Tidak Menginap","Mobil","Memuaskan","Tenpat sangat bagus dan jalur yang di lalui juga sudah sangat baik"
"2022/11/14 4:05:54 PM GMT+7","Remaja","Tunggal","Wisata Kuliner","12. Roti Ganda Siantar","Low","Tidak Menginap","Motor","Memuaskan","Kunjungan ke bolu Meranti dari rumah jauh tetapi dengan rasa dan kualitas dari kue tersebut membuat lebih baik."
"2022/11/14 5:23:06 PM GMT+7","Dewasa","Berdua","Wisata Alam","14. Bukit Sibea bea","Low","Hotel","Motor","Memuaskan","Indah"
"2022/11/14 5:23:23 PM GMT+7","Dewasa","Keluarga","Wisata Religi","2. Taman Wisata Iman Sidikalang","Low","Tidak Menginap","Motor","Memuaskan","Keliling area TWI, dan tidak lupa untuk mengambil dokumentasi. Fasilitas sudah semakin banyak,dan tempatnya nyaman dan bersih."
"2022/11/14 5:26:39 PM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","Medium","Hotel","Mobil","Memuaskan","Sangat seru"
"2022/11/14 5:29:23 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","High","Villa","Mobil","Cukup","Keren"
"2022/11/14 5:30:55 PM GMT+7","Remaja","Keluarga","Wisata Alam","4. Mickey Holiday","Low","Tidak Menginap","Mobil","Luar biasa","Tempat wisata yg saya kunjungi lumayan bnyak wahana yg bisa dinikmati bersama keluarga... "
"2022/11/14 5:39:20 PM GMT+7","Dewasa","Komunitas","Wisata Alam","18. Aek Sijorni Tapanuli Selatan","Low","Hotel","Mobil","Memuaskan","Sangat amat menyenangkan"
"2022/11/14 5:46:23 PM GMT+7","Dewasa","Komunitas","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Memuaskan","Keren..."
"2022/11/14 5:50:19 PM GMT+7","Dewasa","Keluarga","Wisata Alam","2. Taman Wisata Iman Sidikalang","Low","Tidak Menginap","Mobil","Memuaskan","Fasilitas yang disediakan di taman wisata iman sidikkalang sangat worth it dengan pengeluaran kami "
"2022/11/14 5:59:09 PM GMT+7","Dewasa","Keluarga","Wisata Religi","2. Taman Wisata Iman Sidikalang","Low","Tidak Menginap","Motor","Sangat baik","Bersih"
"2022/11/14 6:48:56 PM GMT+7","Remaja","Tunggal","Wisata Alam","1. Air Terjun Ponot Kisaran","High","Hotel","Mobil","Memuaskan","Bagus lah buat liburan apa lagi bareng pacar"
"2022/11/14 7:56:26 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Luar biasa","Pemandangan yang ada di danau toba sangat indah dan tidak bosan untuk dipandang "
"2022/11/14 8:00:30 PM GMT+7","Remaja","Komunitas","Wisata Alam","3. Danau Toba","Medium","Tenda","Mobil","Sangat baik","Liburan itu sangat menyenangkan dan danaunya sangat indah"
"2022/11/14 8:13:46 PM GMT+7","Dewasa","Tunggal","Wisata Kuliner","3. Danau Toba","Medium","Tenda","Bus","Memuaskan","Sangat menikmati "
"2022/11/14 8:15:13 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Kost","Motor","Memuaskan","Kegiatan nya seru,pemandagan nya bagus,suasanya sejuk,makanan nya makan di rumah makan,nginap nya di penginapan 2 hari 1 malam"
"2022/11/14 8:19:50 PM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Sangat baik","(Kegiatan Liburan, Di Danau Toba)"
"2022/11/14 8:21:31 PM GMT+7","Dewasa","Berdua","Wisata Alam","3. Danau Toba","Low","Hotel","Motor","Memuaskan","Pemandangan yang indah dan sejuk"
"2022/11/14 8:27:56 PM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","Medium","Tidak Menginap","Mobil","Memuaskan","Ada banyak kegiatan dan juga banyak kuliner tentunya yang pastinya enak, tempat penginapan nya juga banyak dan bagus bagus."
"2022/11/14 8:30:28 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Memuaskan","Kegiatan : Liburan dan berkunjung, Makanan : Bolu Miranti, Sangsang"
"2022/11/14 8:31:07 PM GMT+7","Remaja","Tunggal","Wisata Alam","3. Danau Toba","Medium","Hotel","Mobil","Luar biasa","ok"
"2022/11/14 8:32:10 PM GMT+7","Dewasa","Keluarga","Wisata Alam","6. Geosite Sipinsur","High","Hotel","Mobil","Memuaskan","Tempat nya menyenangkan dan juga luar biasa"
"2022/11/14 8:44:06 PM GMT+7","Dewasa","Komunitas","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Sangat baik","Pemandangan cocok untuk swafoto, cocok juga untuk anak2 remaja yang suka kulineran."
"2022/11/14 8:45:47 PM GMT+7","Dewasa","Komunitas","Wisata Alam","4. Mickey Holiday","Low","Tidak Menginap","Mobil","Memuaskan","Mickey holiday , wahana "
"2022/11/14 8:47:35 PM GMT+7","Dewasa","Tunggal","Wisata Alam","3. Danau Toba","Low","Tenda","Motor","Memuaskan","Pemandangan bagus"
"2022/11/14 8:51:54 PM GMT+7","Dewasa","Berdua","Wisata Alam","3. Danau Toba","Medium","Hotel","Motor","Memuaskan","Pngen ksana lagi bersama org yg tercinta"
"2022/11/14 8:52:10 PM GMT+7","Dewasa","Keluarga","Wisata Sejarah dan Budaya","3. Danau Toba","Medium","Hotel","Mobil","Rendah","pasir patih, tuktuk, tomok, dan hot spring di Pangururan. Mengecewakan, karena karakter masyarakat, lokasi wisata yg mahal (semua pakai uang masuk : ke lokasi, Sewa lapak, sewa tikar, dll)"
"2022/11/14 9:00:02 PM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","Medium","Hotel","Mobil","Sangat baik","Sanagt mengesankan dan juga memuaskan "
"2022/11/14 9:11:25 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Medium","Tidak Menginap","Bus","Sangat baik","Danau Toba adalah tempat wisata yang masuk ke dalam kategori luar biasa bahkan bagi penduduk Sumatera Utara sekalipun. Akses penyeberangan yang lumayan, kesempatan untuk menikmati pemandangan dan udara yang segar, ditambah lagi kesempatan untuk menapak tilas dan menikmati pertunjukan budaya parmalim (jika beruntung). Semua oke, tpi hanya tersisa satu masalah yaitu manajemen sampah dan sanitasi, serta banyaknya pos-pos pembayaran yang harusnya bisa disederhanakan lewat sistem ticketing. Tapi terlepas dari masalah itu, Danau Toba masih memegang posisi luar biasa dalam pilihan berwisata."
"2022/11/14 9:11:52 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Cukup","Lumayan"
"2022/11/14 9:13:03 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","","Tidak Menginap","Mobil","Memuaskan","jalan jalan seru"
"2022/11/14 9:23:58 PM GMT+7","Dewasa","Berdua","Wisata Alam","4. Mickey Holiday","Low","Tidak Menginap","Motor","Cukup","Back to nature adalah hal yang buat tenang pikiran "
"2022/11/14 9:24:18 PM GMT+7","Dewasa","Keluarga","Wisata Alam","4. Mickey Holiday","Low","Tidak Menginap","Mobil","Memuaskan","sangat senang "
"2022/11/14 9:29:53 PM GMT+7","Remaja","Tunggal","Wisata Alam","3. Danau Toba","Low","Villa","Mobil","Memuaskan","Tempatnya sangat indah dan memuaskan mata"
"2022/11/14 9:30:36 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Medium","Tidak Menginap","Mobil","Memuaskan","Sangat menyenangkan jika berkumpul dengan keluarga "
"2022/11/14 9:45:53 PM GMT+7","Anak-anak","Komunitas","Wisata Alam","3. Danau Toba","Low","Kost","Mobil","Memuaskan","Berkunjung ke danau toba lebih tepatnya di Perbaba pantai pasir putih disana bnayak sekali wahana permainan mulai dari banana boat,, kapal,, mandi atau berenang dan tempat yang indah dan cantik, disana juga terdapat makanan dan minuman yang enak berkhas makanan batak toba"
"2022/11/14 10:05:34 PM GMT+7","Remaja","Komunitas","Wisata Alam","3. Danau Toba","High","Tidak Menginap","Motor","Memuaskan","Sangat baik"
"2022/11/14 10:13:36 PM GMT+7","Dewasa","Keluarga","Wisata Sejarah dan Budaya","17. Aek Sipitu Dai Samosir","Low","Tenda","Sepeda","Memuaskan","Sangat menarik buat wisatawan yg mau berkunjung "
"2022/11/14 10:22:28 PM GMT+7","Dewasa","Komunitas","Wisata Alam","8. Landak River","Low","Tenda","Motor","Luar biasa","Sangat memuaskan dan lingkungan sangat adem, asri, nyaman . "
"2022/11/14 10:39:38 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Cukup","Terkhusus Danau Toba tempat yang begitu indah tetapi di penuhi orang-orang yang tamak, dalam hal berjualan mereka tidak begitu respon dengan kita dan pernah pengalaman disana ada yang ribut persoalan kelapa yang di beli oleh orang-orang yang lewat. Sungguh pengalaman yang membuat tidak ingin lagi kesana. Huh"
"2022/11/14 10:46:35 PM GMT+7","Dewasa","Keluarga","Wisata Alam","12. Roti Ganda Siantar","Medium","Tidak Menginap","Mobil","Cukup","Rasa nya tetap menjadi terfavorit"
"2022/11/14 10:58:24 PM GMT+7","Dewasa","Berdua","Wisata Kuliner","11. Ucok Durian Medan","Low","Tidak Menginap","Jalan Kaki","Cukup","Durian nya enak🤗 yang jual ramah "
"2022/11/14 11:21:36 PM GMT+7","Dewasa","Keluarga","Wisata Sejarah dan Budaya","12. Roti Ganda Siantar","Low","Tidak Menginap","Bus","Cukup","Makanan"
"2022/11/14 11:40:25 PM GMT+7","Dewasa","Komunitas","Wisata Alam","3. Danau Toba","Low","Kost","Bus","Cukup","Kegiatan yang dilakukan sekaligus dengan KKN"
"2022/11/15 7:11:00 AM GMT+7","Lansia","Keluarga","Wisata Alam","14. Bukit Sibea bea","Medium","Hotel","Mobil","Memuaskan","Menikmati saja"
"2022/11/15 7:13:13 AM GMT+7","Remaja","Keluarga","Wisata Alam","14. Bukit Sibea bea","Medium","Tenda","Mobil","Memuaskan","Menikmati saja"
"2022/11/15 7:14:36 AM GMT+7","Lansia","Keluarga","Wisata Alam","6. Geosite Sipinsur","Medium","Tenda","Mobil","Memuaskan","Menikmati saja"
"2022/11/15 7:19:40 AM GMT+7","Remaja","Keluarga","Wisata Alam","13. Menara Pandang Tele","Medium","Tenda","Bus","Memuaskan","Menikmati keindahan alam"
"2022/11/15 7:21:54 AM GMT+7","Remaja","Komunitas","Wisata Alam","3. Danau Toba","Low","Villa","Motor","Sangat baik","Okkelah"
"2022/11/15 7:24:02 AM GMT+7","Remaja","Keluarga","Wisata Alam","13. Menara Pandang Tele","Medium","Tenda","Bus","Memuaskan","Menikmati keindahan alam🌿🍃"
"2022/11/15 7:26:35 AM GMT+7","Remaja","Keluarga","Wisata Kuliner","18. Aek Sijorni Tapanuli Selatan","Medium","Tenda","Mobil","Memuaskan","Menikmati keindahan alam 🏞️"
"2022/11/15 7:28:11 AM GMT+7","Anak-anak","Keluarga","Wisata Alam","23. Wisata Merci","Medium","Villa","Mobil","Memuaskan","Permainannya seru benget😁🥰"
"2022/11/15 7:55:13 AM GMT+7","Dewasa","Keluarga","Wisata Alam","5. Pasar Kamu Deli Serdang","Low","Tidak Menginap","Motor","Memuaskan","Pasar kamu Deli Serdang sangat cocok untuk kunjungan keluarga, selain bisa menikmati makanan tradisional kita juga dihibur dengan kesenian yang ada di daerah tersebut. Harga makanan juga ekonomis, cara pembelian menggunakan tempu hal ini menjadi daya tarik tersendiri bagi pengunjung."
"2022/11/15 8:04:51 AM GMT+7","Dewasa","Komunitas","Wisata Alam","3. Danau Toba","Low","Tenda","Motor","Memuaskan","Sangat menakjubkan mendirikan camp d sekitar danau toba yaitu paropo,  pemandangan yang luar biasa indahnya menjadikan kita tetap bersyukur dan lebih mencintai alam"
"2022/11/15 8:47:17 AM GMT+7","Remaja","Komunitas","Wisata Sejarah dan Budaya","21. Istana Maimun","Low","Tidak Menginap","Motor","Sangat baik","Sangat baik, namun sayangnya ada beberapa bagian istana maimoen yang telah beralih fungsi. Untuk makanan ya standar lah. "
"2022/11/15 8:54:50 AM GMT+7","Remaja","Tunggal","Wisata Alam","3. Danau Toba","Medium","Hotel","Motor","Memuaskan","Wisata nya asik"
"2022/11/15 8:55:04 AM GMT+7","Remaja","Keluarga","Wisata Alam","1. Air Terjun Ponot Kisaran","Low","Villa","Mobil","Cukup","menyenangkan"
"2022/11/15 9:09:13 AM GMT+7","Dewasa","Tunggal","Wisata Alam","22. Pemandian Bah Damanik","Low","Tidak Menginap","Motor","Memuaskan","bagus tempatnya.aman serta terjangkau harganya"
"2022/11/15 9:20:05 AM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","High","Tidak Menginap","Mobil","Memuaskan","Keindahan nya saya kagum"
"2022/11/15 9:21:00 AM GMT+7","Dewasa","Keluarga","Wisata Alam","21. Istana Maimun","Low","Tidak Menginap","Motor","Memuaskan","Berfoto foto"
"2022/11/15 10:30:49 AM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","Medium","Hotel","Mobil","Memuaskan","Indah"
"2022/11/15 10:30:50 AM GMT+7","Remaja","Keluarga","Wisata Alam","14. Bukit Sibea bea","Low","Hotel","Mobil","Sangat baik","Kegiatan : wisata bersama keluarga "
"2022/11/15 10:34:47 AM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","Low","Hotel","Mobil","Memuaskan","lokasi yg dikunjungi sangat indah"
"2022/11/15 10:35:52 AM GMT+7","Remaja","Komunitas","Wisata Alam","3. Danau Toba","High","Tenda","Motor","Memuaskan","Saya harap warga setempat atau pengelola wisata tidak hanya meminta uang kontribusi. Tetapi membersikan tempat wisata tersebut. Kurang kurangi pungli"
"2022/11/15 10:35:54 AM GMT+7","Remaja","Berdua","Wisata Alam","2. Taman Wisata Iman Sidikalang","Medium","Tidak Menginap","Motor","Memuaskan","Tempat nya sejuk dan memuaskan"
"2022/11/15 10:39:30 AM GMT+7","Remaja","Berdua","Wisata Alam","13. Menara Pandang Tele","Medium","Hotel","Mobil","Cukup","Enak kali betolll"
"2022/11/15 10:39:34 AM GMT+7","Dewasa","Keluarga","Wisata Alam","6. Geosite Sipinsur","Low","Tidak Menginap","Mobil","Cukup","Pada saat saya terakhir mengunjungi Geosite Sipinsur, saya merasa potensi untuk memperoleh pendapatan asli daerah yang lebih besar bisa diperoleh Pemerintah Kabupaten Humbang Hasundutan melalui tingkat kunjungan wisatawan dan retribusi daerah lain nya. Tinggal bagaimana pemda bersama dengan masyarakat sekitar merawat dan menjaga kebersihan Objek wisata Geosite Sipinsur agar tetap bersih dan terawat "
"2022/11/15 10:40:43 AM GMT+7","Remaja","Tunggal","Wisata Alam","3. Danau Toba","Low","Hotel","Motor","Cukup","Sangat bagus tempat nya dan menarik untuk di kunjungi "
"2022/11/15 10:44:12 AM GMT+7","Dewasa","Keluarga","Wisata Alam","22. Pemandian Bah Damanik","Low","Tidak Menginap","Motor","Memuaskan","Sangat memuaskan ketika bersama keluarga ke tempat wisata alam bah Damanik, di tambah dengan jangkauan lokasi yang sangat dekat dari rumah keluarga sehingga memungkinkan niat dan mood yang baik untuk kesana, dan sangat menikmati sekali keindahan dan keseruan disana. Terimakasih."
"2022/11/15 10:44:44 AM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Medium","Hotel","Mobil","Memuaskan","Liburan Keluarga"
"2022/11/15 10:46:50 AM GMT+7","Dewasa","Komunitas","Wisata Alam","3. Danau Toba","Medium","Tenda","Motor","Memuaskan","Sangat indah "
"2022/11/15 10:48:44 AM GMT+7","Remaja","Komunitas","Wisata Alam","3. Danau Toba","High","Hotel","Bus","Memuaskan","menyenangkan"
"2022/11/15 10:50:14 AM GMT+7","Remaja","Komunitas","Wisata Sejarah dan Budaya","3. Danau Toba","Medium","Villa","Bus","Memuaskan","Sangat menyenangkan dalam kegiatan dan indah nya lokasi disana, makanan enak, tempat tinggal nyaman."
"2022/11/15 10:52:26 AM GMT+7","Remaja","Komunitas","Wisata Sejarah dan Budaya","3. Danau Toba","Medium","Villa","Bus","Memuaskan","Sangat menyenangkan dalam kegiatan dan indah nya lokasi disana,makanan sangat enk, tempat tinggal nyaman "
"2022/11/15 10:52:47 AM GMT+7","Remaja","Komunitas","Wisata Alam","6. Geosite Sipinsur","Low","Tidak Menginap","Motor","Memuaskan","Tempat dan objek sangat memuaskan dan wortid untuk remaja"
"2022/11/15 10:54:34 AM GMT+7","Remaja","Komunitas","Wisata Sejarah dan Budaya","3. Danau Toba","High","Villa","Mobil","Memuaskan","Berenang di Danau Toba, Evaluasi sejarah dan budaya danau Toba,Mie Gomak, Ajibata Villa "
"2022/11/15 10:56:27 AM GMT+7","Dewasa","Komunitas","Wisata Alam","4. Mickey Holiday","Low","Villa","Bus","Memuaskan","mickey holiday,wahana bermain seru dan fasilitas nyaa cukup memuaskan"
"2022/11/15 10:59:43 AM GMT+7","Dewasa","Keluarga","Wisata Sejarah dan Budaya","3. Danau Toba","Low","Hotel","Mobil","Cukup","Makanan"
"2022/11/15 11:02:47 AM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Hotel","Mobil","Cukup","Menyenangkan hati dan lerasaan "
"2022/11/15 11:06:11 AM GMT+7","Remaja","Komunitas","Wisata Religi","3. Danau Toba","Medium","Hotel","Bus","Memuaskan","mantap , mantap"
"2022/11/15 11:13:07 AM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","High","Hotel","Mobil","Luar biasa","makan jagung bakar"
"2022/11/15 11:20:26 AM GMT+7","Dewasa","Keluarga","Wisata Sejarah dan Budaya","3. Danau Toba","Low","Hotel","Mobil","Memuaskan","Puas sekali"
"2022/11/15 11:21:25 AM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Hotel","Mobil","Memuaskan","Puas sekali "
"2022/11/15 12:26:02 PM GMT+7","Dewasa","Keluarga","Wisata Religi","2. Taman Wisata Iman Sidikalang","High","Villa","Mobil","Memuaskan","Menyenangkan "
"2022/11/15 12:26:35 PM GMT+7","Dewasa","Komunitas","Wisata Religi","3. Danau Toba","Medium","Villa","Bus","Memuaskan","Kegiatan cukup seru makanan sangat nikmat dan berbagai macam menu, tempat nya sangat bagus karna lgsg di hadapkan dengan danau Toba"
"2022/11/15 1:14:35 PM GMT+7","Dewasa","Keluarga","Wisata Sejarah dan Budaya","3. Danau Toba","Medium","Villa","Mobil","Memuaskan","Baik dan sangat menyenangkan"
"2022/11/15 2:33:53 PM GMT+7","Dewasa","Keluarga","Wisata Alam","9. Bukit Lawang","Low","Tidak Menginap","Mobil","Sangat baik","Tempat nya keren air nya jernih dan bersih cocok buat healing bersama keluarga"
"2022/11/15 2:39:58 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Memuaskan","Bagus"
"2022/11/15 3:00:17 PM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","Medium","Hotel","Mobil","Memuaskan","Sangat terapresiasi"
"2022/11/15 3:32:58 PM GMT+7","Dewasa","Tunggal","Wisata Sejarah dan Budaya","16. Pusuk Buhit Samosir","Medium","Tidak Menginap","Mobil","Memuaskan","Memuaskan "
"2022/11/15 5:32:53 PM GMT+7","Dewasa","Keluarga","Wisata Alam","22. Pemandian Bah Damanik","Low","Villa","Mobil","Memuaskan","Permandiannya bagus, bersih, sejuk juga. Hanya saja sedikit kurang bersih"
"2022/11/15 5:36:00 PM GMT+7","Dewasa","Komunitas","Wisata Religi","2. Taman Wisata Iman Sidikalang","Low","Tidak Menginap","Bus","Cukup","Pengalaman pada tempat yang dikunjungi adalah dimana tempat tersebut nyaman, bersih dan aman."
"2022/11/15 7:15:11 PM GMT+7","Remaja","Tunggal","Wisata Kuliner","5. Pasar Kamu Deli Serdang","Low","Tidak Menginap","Motor","Sangat baik","Makanannya tradisional tanpa penyedap , konsep jual belinya unik menggunakan alat tukar Tempu (sejenis tempurung), suasananya pedesaaan banget jdi nostalgia "
"2022/11/15 10:31:23 PM GMT+7","Remaja","Komunitas","Wisata Religi","15. Pusat TB Silalahi (Museum Balige)","Medium","Villa","Bus","Sangat baik","banyak sejarah batak yang saya dapat tahu, terlebih pemandangan dan suasana yang sangat membuat saya nyaman di lokasi museum tersebut"
"2022/11/15 10:35:39 PM GMT+7","Dewasa","Keluarga","Wisata Alam","16. Pusuk Buhit Samosir","Medium","Hotel","Mobil","Sangat baik","dipandang dari atas bener-bener indah, tapi tetep harus jaga sikap dan attitude gaiss"
"2022/11/16 7:51:41 AM GMT+7","Dewasa","Komunitas","Wisata Alam","1. Air Terjun Ponot Kisaran","Low","Tidak Menginap","Mobil","Sangat baik","Bagus "
"2022/11/16 12:37:47 PM GMT+7","Dewasa","Komunitas","Wisata Alam","3. Danau Toba","High","Villa","Bus","Memuaskan","Terbaikk sekali...."
"2022/11/16 12:53:02 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Medium","Villa","Mobil","Cukup","Tempat nya indah dan menarik "
"2022/11/16 12:56:56 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Medium","Tidak Menginap","Mobil","Cukup","Cukup menyenangkan"
"2022/11/16 1:06:00 PM GMT+7","Dewasa","Komunitas","Wisata Alam","3. Danau Toba","Low","Villa","Bus","Luar biasa","Klau bisa ke tempat2 yg tenang indah, sejuk. Terus klau bisa di adakan acar mangga, bakar2 ya begitu lh "
"2022/11/16 2:36:22 PM GMT+7","Dewasa","Komunitas","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Motor","Memuaskan","Touring"
"2022/11/16 10:56:32 PM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Sangat baik","kami hanya bertamasya atau sekarang lebih sering disebut healing. kalau untuk makanan kami membawa bekal dari rumah, masak nasi sendiri dan bawa lauk yang udah dimasak. untuk tempat tinggal kami biasanya hanya pp (pulang pergi)"
"2022/11/16 10:58:33 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","High","Hotel","Mobil","Memuaskan","Sangat senang"
"2022/11/17 10:42:54 AM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","High","Tidak Menginap","Mobil","Memuaskan","cukup bersih, sejuk, dan indah smga ttp dijaga keasrian dari danau toba menjaga sikap dari perilaku yg menyimpang seperti membuang sampah sembarangan dan berkata tidak baik. "
"2022/11/17 3:57:15 PM GMT+7","Dewasa","Keluarga","Wisata Alam","9. Bukit Lawang","Medium","Hotel","Mobil","Memuaskan","Masih Banyak nya pungli yang membuat pengalaman saya sedikit kesal"
